用户名,评论
柳橙吸,对邪恶和不公永远保持愤怒
歪果仁研究协会,持续关注！严惩严惩严惩严惩严惩严惩！真的是太气了太气了太气了！眼里没有人命的么？从这群人身上没有看到任何一点点的人性！真的是一晚上睡不着觉！
375123,感觉这件事情最让人绝望的就是，你带入旁观者不敢见义勇为，你带入受害者就只能任人宰割。
Zemx十荒,终于等到你，罗老师
David23e,老师多喝点水，辛苦了，嗓子都哑了
晋武帝之子,夏天了谁都会夜里出去跟朋友们一起吃顿烧烤，所以大家才会尤其共情和震怒
添哥要努力学习,毫无人性
只想一觉到天亮,难得罗老师这么紧跟时事
斯陶同学,可见这次事件有多么恶劣，甚至惊动了[热词系列_张三]
许旧忆,我没敢认真看视频，反正是很生气也很恐惧。
雲朵團,终于等到，昨晚真的气得睡不着
我要亲自白嫖,把人当人来尊重
Gennalin,周围好多同学都特别关注这个事，甚至有同学因为这个事争论起来
吴燎z,已经抓到8个人了[OK][OK]
雾蒙蒙的镜子哥,"“你的内心，真正尊重吗？你说了那么多让你自我感动的话，但是如果在案发现场，你会不会挺身而出，像你想象中那么的勇敢和正直呢？”
最后几句话，共勉"
狐狸不精-,最后一句让我深思，网友们义愤填膺，对暴行口诛笔伐，我也不例外。如果真的发生在我身边，我会挺身而出吗？我也不知道我会怎么做，我不敢保证我能否那么英勇无畏，可能会害怕踟蹰，会犹豫，但视频里见义勇为的弱女子也害怕，她们凭的只是一瞬间喷薄而出的仗义，不假思索的本能的善良，这可能就是普通人身上耀眼的人性光辉！
姊蓝,我还在想要不要私信罗老师讲讲唐山事件结果下一秒它就来了[doge]
三頁芝士丸,罗老师说得太好了😭😭
纯情宇公子,作为一个普通人，我们能做的无非远离加报警，有能力自然可以上前制止，但普通人应该明哲保身，加报警，保护好自己。
Ttttttttt-Y,她什么也没做错，也勇敢反抗了，但对她来说，伤害并没有因此少一点
KKcctate,相信很多同学都这件事十分生气，甚至气到吃不下饭睡不好觉。让我们一起持续关注该事件的发展。
看菜切瓜,透过问题看本质
比丘尼__,大家9个罪犯已经全部抓获了现在[打call]
凉凉小月亮,昨天看到这个事情报道，就期待罗老师解读，等到了
一颗银瓜子,作为本地人，这样让人认识唐山觉得挺丢脸的[辣眼睛][辣眼睛][辣眼睛]
Ninis_land,谢谢你，罗老师！
云纤0307,就等着罗老师发这个！！！
日思夜想豆哥,真的气啊
王站站吖-,罗翔老师好！
周一你按时起床了嘛,翔叔终于站出来分析了 俺相信翔叔[星星眼]
戴帽子的小泽君,除了现场劝架的那几位，其余人没有任何权利去指责那些旁观的人
鸡汤来喽x,老师好老师好！！！[脸红][脸红][脸红][脸红][脸红]
只知道嘿嘿嘿,专门等罗老师来讲解这件事[打call]
黄色沉沉Ave,罗翔老师辛苦了[微笑]
江北彭于妟,昨晚上看了这个事，我真的，我一个猛男晚上做梦都是这个事，真的让人愤怒
听春雨X,那个蓝黑外套的女孩真的很勇敢，那么害怕还是冲上去
雪雪雪雪雪雪鳕,相信很多同学都这件事十分生气，甚至气到吃不下饭睡不好觉。让我们一起持续关注该事件的发展。
小陌上行,连罗老师这种不喜欢“蹭热度”的都评价这件事 看来是真的生气了[雫るる_生气]
白马不是马是啥,罗老师，你是光！
玩原神多是一件镁食啊,正义永远不会缺席！
鱼的寓意,我身边很多男性朋友，也为此事发声了，所以希望朋友们千万不要把这件事上升到性别对立！这个社会会越来越好的！[高考加油]
花少北丶的工友朋友,终于等到你
小权aya,"一定要记住：坏的是人，不是性别！
千万别被带节奏！！！"
DanielWangoW,性别不应对立，善恶才要对立
不知冥网友,终于来了！！！
凉烟似锦踏星河,罗老师yyds！
最正常人,终于来了
SRoud,把一切问题归咎于男女之间的关系，那最后除了情绪的宣泄外，一切都不会改变。[怪我咯]
东风特瓦林小姐,无关性别对立。这是一场对暴力的零容忍。（我是女生 我也很气愤）
鲜葱都麻薯了,罗老师！！！我爱你！！！
细雪fs,罗老师一般不去讨论当下热门事件，但这次出视频说明老师也很气愤。
红尘太平人,支持罗老师！
阿花公,有蚊子叮我，我不应该通过穿厚衣服和白天睡觉来保护自己，最简单的解决方法是点蚊香让蚊子死
PluviophileR,严惩一次犯罪者，比教育一万句受害者学会保护自己有用得多。
丶榕林,很多人都在说，不应该反抗应该假装顺从，我个人的理解，我尊重几位女士的选择，而且我并不觉得不反抗结局就会变好。反抗是觉醒的开始。
嬴玉娇,因为有袭击头部的动作，我认为已经可以按故意杀人未遂处理了。
小花儿要好好的,作为女生不仅愤怒，还有恐惧
壶觞酒,根据现场消息看或许还有强暴（jian）未遂？
小朋友要写作文,这确实是个严重的犯罪问题，但是也不要批判共情的女性，女性为何会这么统一的敏感呢…这也是一个现实问题。相信女同胞没有一个不希望罪犯被严惩，受害者得到尽可能公正的待遇吧。
初霜旦,今日不替她人语，明日何人替我言
萝卜偷菜,今天看到的一句话特别觉得特别的对，对施暴者的一次正确惩罚，胜过一万次让女生增强自我保护。
是溪宁,真人真事，本人男，初中时有一次在网吧上网，有几个小混混找我借钱，他们手里有小刀，我没钱了被扇一巴掌声都不敢出，我身边一个朋友也没敢帮忙，那些混混看我们真没钱就走了。不要说只有女性才会对社会上的恶感到恐惧，男性也是一样的。我们在生活中一定要保护好自己，要更加相信警察的力量，遇到困难第一时间求助警察
不是吧誩,我不懂啥男权女权 就是觉得想做个人的话就不该欺负另一个人
小风windy,有个高中时候的男同学在朋友圈发风凉话让我直接删掉了，我都觉得能这种事他发那种话，对他生气都是多余，过于没良心了
恐疾也,已经修复了监控录音，不是单纯暴力，是强奸未遂后恼羞成怒的故意杀人
玛丽她家隔壁,跑路开的是迈巴赫，车牌7777，这是普通人？谁信？
東弥DM,我很生气，但是周围的男孩子的态度让我感到心惊，他们或开玩笑的说小心你也变成这样，或说你要理性啊不要再生气啦，作为一个正常人，这怎么能不生气呢，终于等到您的视频，仿佛抓到了一根还能支撑的绳索，谢谢您。
看看今天的月亮,没有人关注最后那个女孩子被拽进巷子就没有监控了吗？看见还有几个打人者走过去真的很恐怖
默犬りさ,女性的身份让我感同身受，仿佛每一拳都打在了自己身上，我相信如果我在外面遇见了这样子的事情，我依旧会向前保护其它被欺负的女孩子
卷进mihomo就改名,老师我真心的问一个问题，如果被施暴的是我们女朋友或者家人，这个时候我如果反抗是不是算正当防卫呢？如果这个时候我把人打伤打残了甚至打死了，算防卫过当吗？如果是我先被打，就像视频中白衣服女孩儿一样的情况然后我反击把人打死了算防卫过当吗？真心求问
柒闻鹤鸣,看完新闻和视频，抽了整整一包烟都没想明白，为啥这样的人还有老婆。。。
7shifs,早晨起来里看到的，昨天可能视频大家都忽略了：把声音调最大，视频时间2:40:30-2:40:34，那穿绿衣服的男的清清楚楚的说了一句:“把那几个女的怼在路边给c了”，以及女孩被摸背后问干嘛，视频时间2:40:42那句“c你”，如果不是女孩儿们的强烈反抗，大家看到的是不是就另一种刑事案件了？
茕黑兔,"为啥女生会害怕还不是因为这件事的开头是因为xsr，当然还有力量上的悬殊，小孩或比较瘦弱男生也可能会被人欺负。
而且刚好昨天和朋友逛了晚上的那种古镇街道景区，景区很大走出来的时候22点多了，打车时还被司机说女生为什么大晚上出门，回来看到新闻更无语了
正常人不应该是去指责晚上不回家到处惹事的加害者吗？难道真的要让女生、小孩或者比较瘦弱的男生晚上都不用出门了吗……可是其实我也有见过大中午喝醉酒跑到商场来大闹的一个男的
所以说怎么可能不害怕？"
nynbnxl,任何一个人在听到“想🌿你”几个字都不会冷静，还是在人来人往的公共场合，在灯光和摄像头下，谁能保持冷静？谁能完美的处理？这件事能怪女的过激反应吗？
PleaseDontHate,https://b23.tv/BV1HU4y1R7Nb
法塔赫荒海,我想过我要是在现场我一定会出手，我哪怕远远的扔东西砸，我也要出手，不然我瞧不起自己，尤其那女生被打成那样，当时不出手救一下回家了我一定会后悔的。
阿愚周,女孩子们都被打到住院了，很多人却重点在担心被带节奏有人搞性别对立？[疑惑]
小杭帅帅,这是重点，挑战了大众（不分性别）的安全感，这是这件事最恶劣的地方，因为这种垃圾，今天调戏女的不成就殴打，明天哪个男的多看他一眼，他就找茬打你一顿。时时刻刻都在危害公众的安全。
某科学的一级天灾,我会做 因为我不久之前就见义勇为帮助了被醉酒老板调戏的大一女生。我很害怕 我也怕受到伤害，但是我受不了眼前看到有人被伤害。不知从什么时候起 “见义勇为”变成了不好的东西，那几个女孩子写了感谢信到我的学院里，学院老师反问“你们想要我们做什么？”。很悲哀，没有明确的“奖惩”，只会出现更多利己主义者。如果问我再一次我还会不会见义勇为，我会的。
正义の沉,罗老师罗老师，我现在是唐山四十九中学的一名中学生，因为这次施暴者中一人的女儿在我们学校上学，导致我们学校受到舆论压力、网暴，学也没法好好上了[无语][无语][无语]
Yini7_,保持关注！性别议题不应该被忽视！这不是对立，因为性别本身无原罪，但是这是一种社会性的恐慌，为了让你和你的家人朋友不被结构性的害怕裹挟，让我们一同发声，所有的正常的男人和正常的女人！
XQ今天有读书吗,"罗老师最后的问题，我的答案是:被舆论关注了就是正当防卫，如果没热度就是互殴。
这种事情发生多少次了，在打架斗殴事件里，只要受害者还手就被定为互殴，旁观者的冷漠也是有这方面的原因"
DARLING002-,罗老师全程没提男女，不也把问题说明了？？
话糙理不糙的我,说实话我看着很气愤，但我在现场不会挺身而出，最多时候打110，120，因为我一个人干不过对方七八个人，就算我偷袭得手最多也只能打翻两个其他的败类就反应过来袭击我，但是见义勇为又不适用无限防卫，徒手和剩下六七个败类对打，你还无法保证对方不会动刀，说实话你见义勇为的风险甚至远超被打的姑娘，怎么见义勇为？难道个个都去拜甄子丹大哥为师，然后“打十个”？
諸滅不絕,这已经是故意杀人未遂了吧[Kizuna AI_无语]
永遠の願い,罗老师讲解下，到底这次打人者的行为是否涉及刑法中行凶的定义，加害一方涉嫌9个人，被侵害者4人还是女生，明显实力不对等。当行为升级到多人持械加害时，是否赋予见义勇为者特殊防卫权？
蒜泥走运,"反正我路上看到穿boy夹挎包的都躲着走

我男的"
青青梓木林,那个监控视频最开头，穿绿衣服那男的进来说过一句“把那女的怼路边草了”，然后他才去摸女孩的背。所以女孩子的反应会那么大
-栾蟇-,非常感动罗老师提到了性别平等的问题[委屈]这个事件反应了很多社会乱象，其中的一个就是觉得【女人不接受男人搭讪就该被打】。女孩们实在是太害怕了，已经不敢再期待男性的保护，只希望尚有同理心的男同胞不要漠视女性被侵害的痛苦还说风凉话[拥抱]女性的焦点不是对立而是平等，不是对立而是平等，不是对立而是平等。
麻球猪,我们班主任三观非常有问题，自己不理解事情原委看了几条短视频今天就在课堂上跟我们大谈特谈，非说那几个女生凌晨去吃烧烤有问题，说那几个女生也不是省油的灯，说什么要是他碰见那种男的他早都走了什么的，说人家呢女生非要跟男的吵架，说那几个女生不应该骂那些男的，说完还在那笑，说那几个男的被抓了，结果再看什么的[吐][吐][吐]
-江海阔,"总有人道德绑架周围人？
见义勇为是值得嘉奖，但最好能保证自己安全。
南京胖哥见义勇为导致自己后半辈子生活都很难。
而且面对这么多人，大多数人都会保证自己安全吧？
如果是一个人，我估计都会上的。"
伊月俊_official,谢谢你，罗老师，昨天真的很生气，把我气哭了，晚上和我妈谈这件事又吵了一架，被我妈又气哭了，然后做噩梦醒了就吐了还腹泻……刚刚起床浑身无力的时候就看到了罗老师发的视频，感觉好点了，谢谢罗老师愿意为这些女孩发声[大哭][大哭][大哭]
假装是只棉花糖,不要扫射全体男性，消防员缉毒警察边防战士都是男性多，但是也不要扯什么和性别无关，这件事就是和性别有关，女性受到骚扰更多，力量也更加弱势，承认性别弱势不应该是性别对立，把这统归为性别对立才是真的对立吧
奇异的奇迹,看了视频，真的没有人敢劝架，唯一一个劝架的还被推磕到了后脑勺…
牛和善,一群人先紧张起性别对立了，忘了为正义发声，讨论的是另外的事情，舍本逐末
写给穹的情书,昨晚因为这个事和对象闹矛盾，愉快分手
山水莫负,而且，我想说，那个说“想x你”的是真的！我今天特意把声音放到最大看回放去验证真伪，真的说了！是那个男的又回到女孩子桌子旁边，他又去扒拉女孩子了！女孩子问“你干啥啊！！”男的说了句“想x你”！把声音放到最大，仔细听！注意我说的地方，真的有这三个字！！[大哭]
云狗君,不用那么苛责自己，趋利避害是刻在DNA里的本能，大家都是普通人。我们可以用最大的掌声和最美的鲜花去赞赏挺身而出的人，但是我们绝没有权力去要求每一个人都必须挺身而出。我们应该允许每个人既可以因为自己的勇敢而感到骄傲，也不必为自己一时的退缩而过度贬低自己。
漫天飞舞雪,视频都不敢看完，真的有够恶心，终于刚刚是看到这帮垃圾都被抓起来了。但是看到有心人把矛头转向路人或者男人，这个讨论的性质就算是变了。他们完全不在意这些被打的人有多可怜，只用最亮眼的标题或者回复来吸引大众眼球。从头到尾最惨的也只有被打的这几个女孩子[tv_难过]
